data,horario,tbs,umidade,globo metalico,globo plastico,itgu,itu,orvalho
2021-02-25,19:40:00,26.43,69.26,25.81,26.5,74.63391376897548,75.32391376897547,75.93,20.344204913820747
2021-02-25,19:50:00,26.31,69.96,25.56,26.0,74.40125581190378,74.84125581190378,75.82,20.392377255288256
2021-02-25,20:00:00,26.17,70.89,25.37,26.0,74.24004845493704,74.87004845493703,75.72,20.472356819269528
2021-02-25,20:10:00,26.24,71.19,25.31,26.0,74.2288561866466,74.9188561866466,75.87,20.607933851796084
2021-02-25,20:20:00,25.95,73.14,25.19,26.0,74.16656723175299,74.976567231753,75.65,20.76824231042496
2021-02-25,20:30:00,25.8,75.05,25.06,25.5,74.13548060943646,74.57548060943645,75.64,21.043001692879038
2021-02-25,20:40:00,25.68,76.25,24.94,25.5,74.06677817390775,74.62677817390775,75.59,21.185494927521514
2021-02-25,20:50:00,25.66,76.66,24.87,25.5,74.02128753783295,74.65128753783294,75.6,21.253576493980407
2021-02-25,21:00:00,25.63,77.29,24.81,25.5,73.998899087413,74.688899087413,75.62,21.35805302059166
2021-02-25,21:10:00,25.56,77.44,24.75,25.0,73.92588043953344,74.17588043953344,75.52,21.32189010981513
2021-02-25,21:20:00,25.42,78.15,24.69,25.0,73.87063785914104,74.18063785914104,75.38,21.33510516428067
2021-02-25,21:30:00,25.33,78.4,24.56,25.0,73.72796842138376,74.16796842138376,75.27,21.29991228162158
2021-02-25,21:40:00,25.34,78.32,24.5,25.0,73.66546566737156,74.16546566737156,75.27,21.292960187143258
2021-02-25,21:50:00,25.24,78.68,24.44,25.0,73.59746058407634,74.15746058407635,75.16,21.270723844656498
2021-02-25,22:00:00,25.25,78.81,24.44,25.0,73.61064926330997,74.17064926330997,75.19,21.307359064749892
2021-02-25,22:10:00,25.27,78.59,24.44,25.0,73.60122261646966,74.16122261646966,75.18,21.281173934637934
2021-02-25,22:20:00,25.25,78.39,24.37,25.0,73.50927813351106,74.13927813351106,75.15,21.22021703753071
2021-02-25,22:30:00,25.09,78.91,24.25,24.5,73.37216821040332,73.62216821040332,74.95,21.17268947334256
2021-02-25,22:40:00,25.07,79.1,24.12,24.5,73.24928625871351,73.6292862587135,74.93,21.192461829759765
2021-02-25,22:50:00,25.33,77.69,24.06,24.5,73.17457427886697,73.61457427886697,75.19,21.151595219074906
2021-02-25,23:00:00,25.2,77.58,24.0,24.5,73.06091725631202,73.56091725631202,74.97,21.00254793420007
2021-02-25,23:10:00,24.82,80.04,23.87,24.5,72.98111144362241,73.6111114436224,74.62,21.141976232284488
2021-02-25,23:20:00,24.68,81.06,23.81,24.0,72.94634205329938,73.13634205329937,74.5,21.21206125916493
2021-02-25,23:30:00,24.59,81.5,23.75,24.0,72.8865343137354,73.1365343137354,74.4,21.212595315931647
2021-02-25,23:40:00,24.59,81.29,23.62,24.0,72.74139567474306,73.12139567474307,74.38,21.17054354095295
